lang,length,unit_id,corpus,source_url,text_sha256
nep,L1,40,nep_wikipedia_2021_100K,,268723924da438bf8bc7b566d1d8e38ed09f695defffe635d4f26af30b9e560d
nep,L1,56,nep_wikipedia_2021_100K,,15913ef8cf687c144f407a49ce163484e3c3e842ca5d0b97a0322c1ee9da2c3a
nep,L1,103,nep_wikipedia_2021_100K,,9d4a116f8b2dc3b2a7f276dc1f588c65fde6c88ababf6a2b8d11addf18ed2d0f
nep,L1,165,nep_wikipedia_2021_100K,,8e59743ae861b9304a8b7b3e0245f7f75932fcde476a42728994810d93cfb367
nep,L1,170,nep_wikipedia_2021_100K,,97613442cf703b13ad8884dcc06dc80fc0127da8006c8d954c7b18e2a4d11c30
nep,L1,190,nep_wikipedia_2021_100K,,662520bf6f01dfc62d95ad760d2c257e0a353e79d76234b1556d264f794ef0c5
nep,L1,222,nep_wikipedia_2021_100K,,c1ad75efe9ea30571f609fd7ac61fba2e22161ba074718ec2bc7ac05111ec496
nep,L1,228,nep_wikipedia_2021_100K,,636ac5919ad7c2a053e111a1d5722cd65d9a44a5b7e4dfef7cdec9d2e34f8ed2
nep,L1,256,nep_wikipedia_2021_100K,,dfb47fdb167966bf3e38e8cb6a00ddb0502a60297c849a197bc5d467d7ffe263
nep,L1,270,nep_wikipedia_2021_100K,,b767f1494d542aaafe6334361339956aa529b010ea178970d21bd624bfb4955c
nep,L1,287,nep_wikipedia_2021_100K,,f7138af50dd36b752c52688baf93194f8ecb42e359f6f95397187e9264fdefbb
nep,L1,294,nep_wikipedia_2021_100K,,a7527f8edd1d562aa34bcc4dd0c6f9299d7654b0eadbde66acb25b7aaf7ca2e2
nep,L1,394,nep_wikipedia_2021_100K,,614ee665186594e3a8d7ef906a5bbd806578e8e5a07b1fb258cfd689a590c684
nep,L1,434,nep_wikipedia_2021_100K,,a4c0a1b53b69b891b629422b1c6bead7bc52990e4da0edefb81b155637aadc53
nep,L1,478,nep_wikipedia_2021_100K,,300327995e6bc006248f629f90a14c9d194fad4c0bf6a694b90a44276f1cf2e6
nep,L1,487,nep_wikipedia_2021_100K,,a93c48153387d59cec8b212430c598cdf4a04950d7ec5bbce1d5118851f3a6c2
nep,L1,507,nep_wikipedia_2021_100K,,fe44487580f13342b0d2020a2e4e7c0dd6bc9cbb448505757ed87fa8d8c649ce
nep,L1,544,nep_wikipedia_2021_100K,,6c5559aee0291dee0d4e859845fbc82fdc372a0fe3fe2b82cee79262c836c545
nep,L1,604,nep_wikipedia_2021_100K,,3a96470bb0974568409b960a01d969f02fd16ed0ac169ab67a5e152e32f5c5e3
nep,L1,653,nep_wikipedia_2021_100K,,1a65248a42bb6fba3c24a8ce146493e39036aaff62dbad638090a25a224df8df
nep,L1,663,nep_wikipedia_2021_100K,,73e1d74a00cd173ad45d76e337e75ad77cbda10f7bd6a9869cbc5d9f895b0b66
nep,L1,670,nep_wikipedia_2021_100K,,8d8b9d9974ade34cec036610415b1a287277d4bcc596f2297e0feed35b78d5e5
nep,L1,726,nep_wikipedia_2021_100K,,44e6680e9526dd0616ea566d00e1ab4c7cf291cc1aee6162b1ce158a459aedd0
nep,L1,799,nep_wikipedia_2021_100K,,033cdf36760cfcf5e220cc09e8d9c92aa465b933602a8a2d15335362d22841a9
nep,L1,866,nep_wikipedia_2021_100K,,a366cd2e8ac5f84117e6164bb821d8e4335fed37bf58520a352745cb5c81f5cd
nep,L1,875,nep_wikipedia_2021_100K,,dc9f8610ec2ae3b70c2f89c04ffc4b00fbbba56048425e233e018787f66f0652
nep,L1,908,nep_wikipedia_2021_100K,,c51278fd2a75e3a3518a4b6623a68091b2283967a41c92e2da2b5d9837e486c1
nep,L1,1243,nep_wikipedia_2021_100K,,adff27aa643f726573550fb0cb51bf79b900dbe964f02796a163a0fe398e621f
nep,L1,1250,nep_wikipedia_2021_100K,,ffe49e65ec2b5548ac59c71b4d066e1804660f52c500284a6bb45a048ad30ad9
nep,L1,1251,nep_wikipedia_2021_100K,,0a92e3ce5821348286c89047e2b7f4907a56750b4afed2c1674ce286e4253c4b
nep,L1,1506,nep_wikipedia_2021_100K,,02ceb16d17dd30a423ffdb7faa45b5547d3aac5698ff7116105ae49c5404db80
nep,L1,1608,nep_wikipedia_2021_100K,,9230347269a68acac6b97d7884c379e338a080dc4c77d21b61ca193694a1818c
nep,L1,1631,nep_wikipedia_2021_100K,,52906eb91a6e2b2fdfa7443544be712c9be9add3302bed051993058495c69e61
nep,L1,1654,nep_wikipedia_2021_100K,,fdb762c2040bdb38200a1d7529ffc993cda6fe0207c5cb35cdeef4c30e7aac9f
nep,L1,1655,nep_wikipedia_2021_100K,,da73786f3ef3ef5bdc1821bb5284a96d734802da69fc62f0c9f28f9712db848b
nep,L1,1733,nep_wikipedia_2021_100K,,5d6c06c767c76fde96fc94f3fbfec871e3aaf3152d3f36d2b219c24047b94a8c
nep,L1,1818,nep_wikipedia_2021_100K,,7c02d035edac8b94d22424679d6e3fc96005e93ce65c9c4ea9f0b0a19f347f36
nep,L1,1862,nep_wikipedia_2021_100K,,c599342df5a116950b45eb85e2bcef70309eb0c1288bb57b49d99cd986e3dcfe
nep,L1,1906,nep_wikipedia_2021_100K,,bd171908d704c4e65b6411c7c28f766084c8cc4b19ec42328abde345aab49ff1
nep,L1,1949,nep_wikipedia_2021_100K,,c69fd5e1d46435208855d46ff50933e29171f8027aef2f5e40c7727b6e24fbb5
nep,L1,1953,nep_wikipedia_2021_100K,,3f1882777e531662c6b18ad3d3970a44b991f4ddc9f3abb6e0301acf8554c035
nep,L1,1978,nep_wikipedia_2021_100K,,94a988aa06905d6a9b11ae6c171e29b603e821007cf6dbeb8f23132849f61c2a
nep,L1,2011,nep_wikipedia_2021_100K,,591a4624a1b90072a929c4a1ca422a3e59e493bd936209c7d774a4bdeb2b1311
nep,L1,2015,nep_wikipedia_2021_100K,,3604aca45d95d31254c3f18e2b96570765d83a4dd2858deb8ae91ce3844497de
nep,L1,2316,nep_wikipedia_2021_100K,,9e0a3c9612db374d778fa85aefe8382ac4b7da482251021c4e3e9e834e7c65d2
nep,L1,2341,nep_wikipedia_2021_100K,,6c55d30a41cf4dd86899909810d12007906219abd768359f68d3132a35e2c79c
nep,L1,2391,nep_wikipedia_2021_100K,,e9bc31620109ec68e4363c48fe5288d891c82f3c77a10076046e4346bc7d66dd
nep,L1,2412,nep_wikipedia_2021_100K,,953f1875df34364450cf69c18ab93a4a97346f030a1ba63584c49c3127a16d10
nep,L1,2422,nep_wikipedia_2021_100K,,43b2e96e4f939559d5dc02f01d1331d71cf3315f7d341d7c13dfd11c79e9baca
nep,L1,2497,nep_wikipedia_2021_100K,,5c480d904003fb8229633fdeaa36635959569ae5db4a1bed408ca420d10a669c
nep,L1,2577,nep_wikipedia_2021_100K,,b2c5b043e71f8d37cb41e16201c787a2902f96d3bc10f16d1f6283c669163d05
nep,L1,2700,nep_wikipedia_2021_100K,,a189d7853f78bef94d88c073fa4588d8e904bd49442d0a71dff872946a443dea
nep,L1,2783,nep_wikipedia_2021_100K,,52d4881ffe9219e5593ed01d4f7c3af26234073684ccce7b641b485990b3c75b
nep,L1,2795,nep_wikipedia_2021_100K,,9692fa08d1beb215d8dc62ec5dd69a215e1b7e03dd33a3f9806f22b707afa808
nep,L1,2799,nep_wikipedia_2021_100K,,230b1c69b2736711f49289e56f9e903ec32a4b39e2f1989bafe839d3910a5d2b
nep,L1,2811,nep_wikipedia_2021_100K,,edf8d5752b9041e8f726d2abb0db6ecb9f4b9aad70d22202fc13e9721ad97eb2
nep,L1,2834,nep_wikipedia_2021_100K,,e30a3abd36ed3289b5a2ed07717c7585b338cc408b1de5d903b0d9154746ee78
nep,L1,2845,nep_wikipedia_2021_100K,,314f56ebde4b0b585271b8f98943c21727ac6af854b52a11afb87b1472876dcf
nep,L1,2865,nep_wikipedia_2021_100K,,e8016ee1a50fec7d59b20b2445a5d484763d274064a137abd1ad908931e3938a
nep,L1,2896,nep_wikipedia_2021_100K,,0cf5f3804c58f6419a33ec55ae6a5101f4d589731f1293331efdca65e32e2faa
nep,L1,2908,nep_wikipedia_2021_100K,,c8550075a5d1e286bd6ef9b6adc721832b2d00e31044f2571ec5780c427a7998
nep,L1,2988,nep_wikipedia_2021_100K,,79451af31ed2a14c2dcbb2f5d4bfe2f56a57168b5be5255dd305e58c273cec3e
nep,L1,2996,nep_wikipedia_2021_100K,,c51117ed4035ec8d8f7d61c4f554aaddc5432c3f09175ba50cdcbbe79525714f
nep,L1,2998,nep_wikipedia_2021_100K,,e8ba31e2a44a182c5621c56c82b7f41241bca2b50579fd703863e89247a27048
nep,L1,3041,nep_wikipedia_2021_100K,,bd08cbfac05d2558a7f223234cdb4f7fe3d299d058f5a2f88ce31e2d31db94e5
nep,L1,3118,nep_wikipedia_2021_100K,,f681f98d63179bf3d8d01c59db862f4e12bd9356f9a677451fcc4c4482660dd5
nep,L1,3184,nep_wikipedia_2021_100K,,94cc4d8ceca1a50bb81c596c1e05824e7bee264ae8c803ce284d0d1a6e8f8059
nep,L1,3194,nep_wikipedia_2021_100K,,02e7550f335c95b62af9b8fe2bde83ae6505c1c5d880aa20cc17fedbb6cbc6c3
nep,L1,3234,nep_wikipedia_2021_100K,,a07cc043d1ba9481c51ae49bb3c558d00fef1d1060bb7d1e0caefcbfaf2bd921
nep,L1,3370,nep_wikipedia_2021_100K,,10ca14e248770c08842afa9dced4c3a0c0513361c37e75d9a56e29e531da24e0
nep,L1,3398,nep_wikipedia_2021_100K,,ceeb876fc4dcbc7da1d33229a0b4340daf405bea1e6e4181bc30e990605988cd
nep,L1,3431,nep_wikipedia_2021_100K,,705abf550ff8d8e76c404b3206f12181501f726a86c7a5a6a788bc85d05d3af8
nep,L1,3470,nep_wikipedia_2021_100K,,34bc89c7d8aee1bbb6d4c531c3d7d4c5aa0aa2f8d05f7a6952d0ca175320a878
nep,L1,3493,nep_wikipedia_2021_100K,,6d155e91ce40991b104cb882d3ac345d364d09332349b218dcbe831c597136fb
nep,L1,3503,nep_wikipedia_2021_100K,,eb2b52af041e64d91d5417260713d1eef7b948183f6285e7bcbe92e1420c41c1
nep,L1,3641,nep_wikipedia_2021_100K,,0288c86553dc853ec80a6fe3fcbcbc1f766ca11615f8016df35a4a5a55abacb8
nep,L1,3708,nep_wikipedia_2021_100K,,a5a30cea4e5bd9c7611c56a827bbfd8b62c5281439993121fe2f2758d56208de
nep,L1,3747,nep_wikipedia_2021_100K,,5971389dc8aa707aa84f644ed5f3963aab7bebbed95d5c7d145fc30dbac3bcf1
nep,L1,3779,nep_wikipedia_2021_100K,,0d85850b198bfe25ecb820c5b27864c938d34284d298e30d85a631c50cd00ff0
nep,L1,3870,nep_wikipedia_2021_100K,,e6306c68596ae3451624784979cf9a13faaaeff109eefd00dd50d8b99d039b51
nep,L1,3891,nep_wikipedia_2021_100K,,2e072b17dc2ed5a56a0b79acbcc0bbd2125b8b185a310ec967ada35e9a3ae0d7
nep,L1,3965,nep_wikipedia_2021_100K,,466127813b0a150aaaca2b23c0b715f63b1a9e242e8eff958114c964af29b1c5
nep,L1,3994,nep_wikipedia_2021_100K,,c0cef951aaa2d17f04d1cb939a995fdc3c2445fbc28a0ca635ac5aa4090a1cf3
nep,L1,4017,nep_wikipedia_2021_100K,,c7dea950d4b807c07127306a268711cdf46e2924f01533a89d70c02ea9e72741
nep,L1,4033,nep_wikipedia_2021_100K,,8f788bbf0567f9d7fd26be8735a692269eb93f6cc5c31d18713d64c98783df07
nep,L1,4140,nep_wikipedia_2021_100K,,eee336830f9c8c1ec4fa0e039e552640852fec33bfdc6ad3acc37ba99ab8899d
nep,L1,4258,nep_wikipedia_2021_100K,,4aba3ec05e513b78dbdfc9f2b8740a4de5b26e6c3d2a2335d06c21882cf76ac7
nep,L1,4286,nep_wikipedia_2021_100K,,b5df09cda8f243961456527c07509427f3683521a115260ee4d43e84093938ee
nep,L1,4314,nep_wikipedia_2021_100K,,76edfdf48a3226c18767ed92a841d67a1a7eac506eeee8bb7c4ed7ca996e5499
nep,L1,4399,nep_wikipedia_2021_100K,,6de28a36c725e798f4decec46c43cc148e9fbd072503cb3e9122c32176df7fef
nep,L1,4479,nep_wikipedia_2021_100K,,d5c9ef29b0f7b9386b933829922d0d9e500809c10d5a3e9d1467365e56011521
nep,L1,4635,nep_wikipedia_2021_100K,,c4d0992093afc8225c7d493371eac0018abe73a5d153a5ba2f30f195055986cb
nep,L1,4751,nep_wikipedia_2021_100K,,15df3adb4818f2e0f833dd62330dd9eb5814c54a7450a0c683e88c573b8a83e0
nep,L1,4792,nep_wikipedia_2021_100K,,f525ddb1fbeb5d4f36a53b71241a40b83d3ef9d549492decf4cdae791ebb9b01
nep,L1,4802,nep_wikipedia_2021_100K,,306dc034070d1b5ab6a3ece8eb7f1dea3eac03dc91defc919bc0575ba71e1e67
nep,L1,4975,nep_wikipedia_2021_100K,,394ca28ccad0d30a5663743b513d0b6ef67a9ee5eece01ba276b760bbef3b2d8
nep,L1,4999,nep_wikipedia_2021_100K,,52723cbd7a77b3167993cf42b1a1b321b5739fdfb95442c428df2d769a77499a
nep,L1,5000,nep_wikipedia_2021_100K,,d867530794233a76e564754bf95f0ffc1f465cd5700006adc4158a597cf1ccfd
